x,Curve1
0.01875,0
0.1125,0
0.20625,0
0.3,0
0.39375,0
0.4875,0
0.517014,0.888889
0.535903,0.977778
0.536076,1.08889
0.545625,1.2
0.545799,1.31111
0.55533,1.41111
0.555503,1.52222
0.555677,1.63333
0.565226,1.74444
0.565399,1.85556
0.58125,0
0.584288,1.94444
0.584462,2.05556
0.59401,2.16667
0.594184,2.27778
0.613073,2.36667
0.613247,2.47778
0.61342,2.58889
0.622969,2.7
0.623142,2.81111
0.632674,2.91111
0.632847,3.02222
0.642396,3.13333
0.642569,3.24444
0.652101,3.34444
0.661632,3.44444
0.661806,3.55556
0.671354,3.66667
0.671528,3.77778
0.675,0
0.690417,3.86667
0.69059,3.97778
0.690764,4.08889
0.700313,4.2
0.700486,4.31111
0.710017,4.41111
0.710191,4.52222
0.71974,4.63333
0.719913,4.74444
0.738802,4.83333
0.76875,0
0.795764,5.28889
0.82375,5.2
0.842361,5.11111
0.860955,5.01111
0.8625,0
0.870156,4.9
0.898142,4.81111
0.926128,4.72222
0.935347,4.62222
0.95625,0
0.963333,4.53333
0.981927,4.43333
1.02854,4.26667
1.047,4.07778
1.05,0
1.07498,3.98889
1.09358,3.88889
1.11219,3.8
1.14017,3.71111
1.14375,0
1.14938,3.6
1.16797,3.5
1.19595,3.41111
1.21457,3.32222
1.2375,0
1.27969,3
1.29806,2.75556
1.30727,2.65556
1.32587,2.55556
1.33125,0
1.34446,2.45556
1.36307,2.36667
1.37227,2.25556
1.38149,2.15556
1.39069,2.04444
1.40931,1.95556
1.41851,1.84444
1.425,0
1.43712,1.75556
1.44632,1.64444
1.45554,1.54444
1.46474,1.43333
1.47345,1.01111
1.51875,0
1.5671,0.944444
1.6125,0
1.61385,0.866667
1.66063,0.8
1.698,0.722222
1.70625,0
1.8,0
1.81028,0.577778
1.89375,0
1.9875,0
2.08125,0
2.175,0
2.26875,0
2.3625,0
2.45625,0
2.55,0
2.61641,0.5
2.64375,0
2.71016,0.5
2.7375,0
2.83125,0
2.86953,0.5
2.925,0
2.96328,0.5
3.01875,0
3.04764,0.488889
3.07613,0.722222
3.1125,0
3.11375,0.8
3.14141,0.5
3.16073,0.866667
3.19835,0.944444
3.20625,0
3.21726,1.04444
3.23516,0.5
3.3,0
3.32891,0.5
3.35788,1.04444
3.36743,1.15556
3.39375,0
3.41443,1.23333
3.42266,0.5
3.46141,1.3
3.4875,0
3.51641,0.5
3.56495,1.56667
3.58125,0
3.59321,1.65556
3.60076,0.488889
3.6121,1.74444
3.63101,1.84444
3.64056,1.95556
3.66882,2.04444
3.675,0
3.68771,2.13333
3.69453,0.5
3.70661,2.23333
3.71616,2.34444
3.74443,2.43333
3.76875,0
3.77889,0.488889
3.85734,2.7
3.8625,0
3.86655,2.58889
3.87266,0.5
3.91332,2.52222
3.95625,0
3.96007,2.44444
3.96641,0.5
4.05,0
4.05076,0.488889
4.09082,2.12222
4.13759,2.05556
4.14375,0
4.14453,0.5
4.16556,1.95556
4.19354,1.86667
4.23092,1.78889
4.2375,0
4.23828,0.5
4.33125,0
4.33203,0.5
4.35252,1.61111
4.37111,1.51111
4.425,0
4.42578,0.5
4.43665,1.45556
4.46464,1.36667
4.49262,1.27778
4.51875,0
4.51953,0.5
4.60391,0.5
4.6125,0
4.61424,1.11111
4.66101,1.04444
4.68898,0.944444
4.69766,0.5
4.70625,0
4.73575,0.877778
4.74495,0.766667
4.79139,0.488889
4.8,0
4.80113,0.722222
4.88514,0.488889
4.88549,0.711111
4.89375,0
4.95102,0.655556
4.97891,0.5
4.9875,0
5.08125,0
5.175,0
5.26875,0
5.3625,0
5.45625,0
5.55,0
5.64375,0
5.7375,0
5.83125,0
5.925,0
6.01875,0
